feature,place,category,pred,,,,,,,
lots,Gravy_Restaurant,price,-0.004532769,,,,,,,
restaurant,Gravy_Restaurant,ambience,-0.004532769,,,,,,,
time,Gravy_Restaurant,price,-0.004808821,,,,,,,
dining,Gravy_Restaurant,ambience,-0.004808821,,,,,,,
restrictions,Gravy_Restaurant,price,-0.004808821,,,,,,,
household,Gravy_Restaurant,price,-0.004808821,,,,,,,
family,Gravy_Restaurant,price,0.48803663,,,,,,,
kids,Gravy_Restaurant,price,0.48803663,,,,,,,
food,Gravy_Restaurant,food,0.48803663,,,,,,,
area,Gravy_Restaurant,price,-0.002008252,,,,,,,
dal,Gravy_Restaurant,food,0.35284808,,,,,,,
makhni,Gravy_Restaurant,food,0.35284808,,,,,,,
couple,Gravy_Restaurant,price,-0.003363438,,,,,,,
times,Gravy_Restaurant,price,-0.003363438,,,,,,,
place,Gravy_Restaurant,ambience,-0.003363438,,,,,,,
sugar,Gravy_Restaurant,price,-0.002332263,,,,,,,
experience,Gravy_Restaurant,price,-0.32553843,,,,,,,
customers,Gravy_Restaurant,price,-0.007752717,,,,,,,
food,Gravy_Restaurant,food,0.59701943,,,,,,,
gem,Gravy_Restaurant,price,0.039953798,,,,,,,
tanjong,Gravy_Restaurant,ambience,0.039953798,,,,,,,
katong,Gravy_Restaurant,food,0.039953798,,,,,,,
area,Gravy_Restaurant,price,0.039953798,,,,,,,
pm,Gravy_Restaurant,service,0.039953798,,,,,,,
staff,Gravy_Restaurant,service,0.36941335,,,,,,,
review,Gravy_Restaurant,price,0.00135462,,,,,,,
people,Gravy_Restaurant,service,0.00135462,,,,,,,
FOOD,Gravy_Restaurant,food,0.00135462,,,,,,,
owner,Gravy_Restaurant,price,-0.001919761,,,,,,,
hospitality,Gravy_Restaurant,price,0.18153025,,,,,,,
experience,Gravy_Restaurant,price,0.7707023,,,,,,,
Food,Gravy_Restaurant,food,0.292905,,,,,,,
place,Gravy_Restaurant,ambience,0.292905,,,,,,,
food,Gravy_Restaurant,food,0.292905,,,,,,,
service,Gravy_Restaurant,service,-0.002765022,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.18930903,,,,,,,
food,Gravy_Restaurant,food,0.59522635,,,,,,,
staff,Gravy_Restaurant,service,0.9083148,,,,,,,
restaurants,Gravy_Restaurant,price,0.9083148,,,,,,,
lentils,Gravy_Restaurant,food,0.78290904,,,,,,,
tea,Gravy_Restaurant,price,0.29971904,,,,,,,
fish,Gravy_Restaurant,food,-0.001911469,,,,,,,
tikkas,Gravy_Restaurant,food,-0.001911469,,,,,,,
restaurant,Gravy_Restaurant,ambience,0.9999092,,,,,,,
platter,Gravy_Restaurant,food,0.026298217,,,,,,,
staff,Gravy_Restaurant,service,0.37172332,,,,,,,
