,Reviews,Restaurant
0,['gute hamburger leckeres pale ale und tolle cocktails'],TFDB
3,"['burger was ok not fantastic', '  place was extremely hot even though i was there at night room temperature was 32 degrees not 25']",TFDB
4,['one of the better burgers ive had the bread is soft and well toasted and the meat is thick and flavorful'],TFDB
5,"['diner time and date 8 october 2021 1pm', ' my wife and i popped by on the way through errands and oh boy it was wonderful', ' wife had no', '1 and i had the no', '2', ' it was a nice touch that they had 2 servicing sizes smaller size for the discerning ']",TFDB
6,['excellent burgers with a taste of each ingredients and come at an affordable price this can come with tasty sides onion rings are dope and on top of this a good service '],TFDB
7,"['great burgers that reminds you of la', ' the only thing missing is the perfect weather', ' fantastic char to the patty and the onion rings were nicely done']",TFDB
8,"['came to try on a discount', ' interesting flavors available', ' patty was seared well with a salty in a good way crispy crust', ' overall would come again on a discount but maybe not on full price']",TFDB
9,"['this place quite possibly has the best burgers in singapore we tried the number 1 and number 2 and both were superb', ' meat is juicy and well seasoned', ' the cheese is tasty as is the sauce', ' the veggies are placed neatly outside the burger ']",TFDB
12,['very yummy burgers milkshakes and fries but ill come back for the weekday lunch promo as it is still a way better deal than the vouchers offered on chope'],TFDB
15,"['burgers are really great', ' enjoyed the juicy patty and the fluffy brioches buns', ' they have cheap wine bottles as well']",TFDB
16,"['the 25 degrees breakfast is good with nicely scrambled eggs', ' the sausage is mushy not sure if its supposed to be that way and weird', ' hash brown is crispy and potatoey', ' the waffles is meh not hard enough on the outside and too soft']",TFDB
17,"['solid burger chicken wings milk shake and onion rings', 'go for rare doneness for the burger as its much more juicier', 'the service here is excellent the staff would actually ask for your honest ']",TFDB
18,['burger is great ambience is greattook the chope deal and had a burger it was quite large and really filling so i '],TFDB
19,"['the burgers here are sublime i had the number three', ' the beef patty melts in your mouth and the brioche bun is slightly crispy on the part touching the patty which adds a delectable texture to the burger as a whole']",TFDB
20,"['exceed my expectation', '  number 1 burger']",TFDB
21,"['first impression is the queue  the queue is quite long during even a weekday for dinner', ' around 30 mins waiting for us around 730 pm', ' they dont accept reservation', ' ']",TFDB
23,"['the burger was excellently cooked', ' i ordered medium and it was still pretty juicy', ' fresh lettuce on the side you can add yourself and the crunchiness was a delight to every bite', ' theres a craftyourown burger on the menu which allows ']",TFDB
24,['lovely burger'],TFDB
