,Unnamed: 0,Review,Date,Stars,Restaurant,feature_descriptors
0,0,"(Translated by Google) Good hamburgers, delicious pale ale and great cocktails.

(Original) …",5 days ago, 4 stars ,TFDB,"{'hamburgers': ['delicious', 'pale'], 'ale': ['great'], 'cocktails': []}"
3,3,"Burger was ok, not fantastic.  Place was extremely hot even though I was there at night, room temperature was 32 degrees (not 25).",2 weeks ago, 3 stars ,TFDB,"{'night': [], 'room': [], 'temperature': [], 'degrees': []}"
4,4,"One of the better burgers I've had, the bread is soft and well toasted, and the meat is thick and flavorful.",2 weeks ago, 5 stars ,TFDB,"{'burgers': ['had'], 'bread': ['soft', 'well', 'toasted'], 'meat': ['is', 'thick', 'flavorful']}"
5,5,"Diner time and date: 8 October 2021, 1pm. My wife and I popped by on the way through errands and oh boy it was wonderful. Wife had no.1 and I had the no.2. It was a nice touch that they had 2 servicing sizes; smaller size for the discerning …",2 weeks ago, 5 stars ,TFDB,"{'Diner': [], 'time': [], 'date': [], 'pm': [], 'wife': ['popped'], 'way': [], 'errands': ['wonderful', 'had'], 'no.1': ['had', 'nice'], 'touch': ['had'], 'servicing': [], 'sizes': ['smaller'], 'size': [], 'discerning': []}"
6,6,"Excellent burgers with a taste of each ingredients and come at an affordable price! This can come with tasty sides (onion rings are dope) and, on top of this, a good service! …",2 weeks ago, 5 stars ,TFDB,"{'burgers': [], 'taste': [], 'ingredients': ['come', 'affordable'], 'price': ['come', 'tasty'], 'sides': [], 'onion': [], 'rings': [], 'dope': [], 'top': ['good'], 'service': []}"
7,7,Great burgers that reminds you of LA. The only thing missing is the perfect weather. Fantastic char to the patty and the onion rings were nicely done,2 weeks ago, 5 stars ,TFDB,"{'burgers': ['reminds', 'only'], 'thing': ['missing', 'perfect'], 'weather': ['Fantastic'], 'char': [], 'patty': [], 'onion': [], 'rings': ['nicely', 'done']}"
8,8,"Came to try on a discount. Interesting flavors available. Patty was seared well with a salty (in a good way) crispy crust. Overall, would come again on a discount, but maybe not on full price.",2 weeks ago, 4 stars ,TFDB,"{'discount': ['maybe', 'full'], 'flavors': ['available', 'seared', 'well'], 'salty': ['good'], 'way': ['crispy'], 'crust': ['Overall', 'come', 'again'], 'price': []}"
9,9,"This place quite possibly has the best burgers in Singapore! We tried the number 1 and number 2 and both were superb. Meat is juicy and well seasoned. The cheese is tasty as is the sauce. The veggies are placed neatly OUTSIDE the burger, …",3 weeks ago, 4 stars ,TFDB,"{'place': ['quite', 'possibly', 'has', 'best'], 'burgers': ['tried'], 'number': ['were', 'superb'], 'Meat': ['juicy', 'well', 'seasoned'], 'cheese': ['tasty', 'is'], 'sauce': [], 'veggies': ['placed', 'neatly'], 'burger': []}"
12,12,"Very yummy burgers, milkshakes and fries! But I'll come back for the weekday lunch promo as it is still a way better deal than the vouchers offered on Chope.",a month ago, 4 stars ,TFDB,"{'burgers': [], 'milkshakes': [], 'fries': ['come', 'back'], 'weekday': [], 'lunch': [], 'promo': ['is', 'still'], 'way': ['better'], 'deal': [], 'vouchers': ['offered']}"
15,15,Burgers are really great. Enjoyed the juicy patty and the fluffy brioches buns. They have cheap wine bottles as well,a month ago, 4 stars ,TFDB,"{'Burgers': ['really', 'great', 'Enjoyed', 'juicy'], 'patty': ['fluffy'], 'brioches': [], 'buns': ['have', 'cheap'], 'wine': [], 'bottles': ['as', 'well']}"
16,16,"The 25 degrees breakfast is good with nicely scrambled eggs. The sausage is mushy (not sure if it’s supposed to be that way) and weird. Hash brown is crispy and potato-ey. The waffles is meh, not hard enough on the outside and too soft.",a month ago, 3 stars ,TFDB,"{'degrees': [], 'breakfast': ['good', 'nicely', 'scrambled'], 'eggs': [], 'sausage': ['mushy', 'sure', 'supposed', 'be'], 'way': ['weird'], 'Hash': [], 'brown': ['crispy'], 'potato': [], 'waffles': ['meh', 'hard', 'enough'], 'outside': ['too', 'soft']}"
