feature,place,category,pred,clause_polarity
lots,Gravy_Restaurant,price,-0.004532769,0
restaurant,Gravy_Restaurant,ambience,-0.004532769,0
time,Gravy_Restaurant,price,-0.004808821,0
dining,Gravy_Restaurant,ambience,-0.004808821,0
restrictions,Gravy_Restaurant,price,-0.004808821,0
household,Gravy_Restaurant,price,-0.004808821,0
family,Gravy_Restaurant,price,0.48803663,0.5
kids,Gravy_Restaurant,price,0.48803663,0.5
food,Gravy_Restaurant,food,0.48803663,0.5
area,Gravy_Restaurant,price,-0.002008252,0
dal,Gravy_Restaurant,food,0.35284808,0.35
makhni,Gravy_Restaurant,food,0.35284808,0.35
couple,Gravy_Restaurant,price,-0.003363438,0
times,Gravy_Restaurant,price,-0.003363438,0
place,Gravy_Restaurant,ambience,-0.003363438,0
sugar,Gravy_Restaurant,price,-0.002332263,0
experience,Gravy_Restaurant,price,-0.32553843,-0.35
customers,Gravy_Restaurant,price,-0.007752717,0
food,Gravy_Restaurant,food,0.59701943,0.6
gem,Gravy_Restaurant,price,0.039953798,-0.033333333
tanjong,Gravy_Restaurant,ambience,0.039953798,-0.033333333
katong,Gravy_Restaurant,food,0.039953798,-0.033333333
area,Gravy_Restaurant,price,0.039953798,-0.033333333
pm,Gravy_Restaurant,service,0.039953798,-0.033333333
staff,Gravy_Restaurant,service,0.36941335,0.375
review,Gravy_Restaurant,price,0.00135462,0
people,Gravy_Restaurant,service,0.00135462,0
FOOD,Gravy_Restaurant,food,0.00135462,0
owner,Gravy_Restaurant,price,-0.001919761,0
hospitality,Gravy_Restaurant,price,0.18153025,0.52
experience,Gravy_Restaurant,price,0.7707023,0.8
Food,Gravy_Restaurant,food,0.292905,0.3
place,Gravy_Restaurant,ambience,0.292905,0.3
food,Gravy_Restaurant,food,0.292905,0.3
service,Gravy_Restaurant,service,-0.002765022,0
restaurant,Gravy_Restaurant,ambience,0.18930903,0.16
food,Gravy_Restaurant,food,0.59522635,0.6
staff,Gravy_Restaurant,service,0.9083148,0.7
restaurants,Gravy_Restaurant,price,0.9083148,0.7
lentils,Gravy_Restaurant,food,0.78290904,0.8
tea,Gravy_Restaurant,price,0.29971904,0.433333333
fish,Gravy_Restaurant,food,-0.001911469,0
tikkas,Gravy_Restaurant,food,-0.001911469,0
restaurant,Gravy_Restaurant,ambience,0.9999092,1
platter,Gravy_Restaurant,food,0.026298217,0
staff,Gravy_Restaurant,service,0.37172332,0.375
cottage,Gravy_Restaurant,ambience,0.19953436,0.2
cheese,Gravy_Restaurant,food,0.19953436,0.2
birthday,Gravy_Restaurant,price,0.19953436,0.2
😊,Gravy_Restaurant,Non-Categorised,0.19953436,0.2
milk,Gravy_Restaurant,price,0.26279262,0.3
dessert,Gravy_Restaurant,food,0.26279262,0.3
place,Gravy_Restaurant,ambience,-0.007328503,0
food,Gravy_Restaurant,food,-0.002811149,0
egg,Gravy_Restaurant,food,-0.001682028,0
service,Gravy_Restaurant,service,-0.002765022,0
picture,Gravy_Restaurant,price,-0.029416464,0.1
experience,Gravy_Restaurant,price,0.9797342,1
food,Gravy_Restaurant,food,0.903603,0.91
garlic,Gravy_Restaurant,food,0.6725681,0.7
Price,Gravy_Restaurant,food,0.19895825,0.2
chicken,Gravy_Restaurant,food,-0.59353375,-0.6
masala,Gravy_Restaurant,food,-0.59353375,-0.6
food,Gravy_Restaurant,food,0.7112298,0.7
go,Gravy_Restaurant,price,-0.002526246,0
neighborhood,Gravy_Restaurant,ambience,-0.002526246,0
place,Gravy_Restaurant,ambience,-0.002526246,0
food,Gravy_Restaurant,food,-0.2903839,-0.3
delivery,Gravy_Restaurant,service,-0.2903839,-0.3
time,Gravy_Restaurant,price,-0.2903839,-0.3
😬,Gravy_Restaurant,food,-0.2903839,-0.3
paneer,Gravy_Restaurant,food,0.5947539,0.6
bhuna,Gravy_Restaurant,food,-7.70E-05,0
food,Gravy_Restaurant,food,0.44086403,0.422222222
country,Gravy_Restaurant,price,0.44086403,0.422222222
food,Gravy_Restaurant,food,0.6947908,0.7
lamb,Gravy_Restaurant,food,-0.00059478,0
restaurant,Gravy_Restaurant,ambience,0.6784049,0.666666667
biryani,Gravy_Restaurant,food,0.6784049,0.666666667
dishes,Gravy_Restaurant,food,0.9839997,1
service,Gravy_Restaurant,service,-0.002064034,0
day,Gravy_Restaurant,price,-0.002330303,0
food,Gravy_Restaurant,food,0.99153596,1
fish,Gravy_Restaurant,food,-0.00298509,0
paneer,Gravy_Restaurant,food,0.02719421,0
garlic,Gravy_Restaurant,food,0.001067556,0
cheese,Gravy_Restaurant,food,-0.003651194,0
food,Gravy_Restaurant,food,0.503662,0.5
place,Gravy_Restaurant,ambience,0.503662,0.5
service,Gravy_Restaurant,service,0.7000015,0.7
manager,Gravy_Restaurant,price,-0.001784176,0
staff,Gravy_Restaurant,service,-0.001917012,0
food,Gravy_Restaurant,food,0.7883266,0.8
offerings,Gravy_Restaurant,price,0.3435184,0.375
service,Gravy_Restaurant,service,0.908663,0.91
bit,Gravy_Restaurant,price,-0.19830099,-0.1875
pricy,Gravy_Restaurant,food,-0.19830099,-0.1875
service,Gravy_Restaurant,service,0.98574173,1
flavour,Gravy_Restaurant,food,0.98585147,1
curry,Gravy_Restaurant,food,0.97797513,1
everytime,Gravy_Restaurant,service,0.99336183,1
pricing,Gravy_Restaurant,price,0.3325016,0.3
quality,Gravy_Restaurant,price,0.3325016,0.3
items,Gravy_Restaurant,price,0.3325016,0.3
service,Gravy_Restaurant,service,0.37256685,0.375
paneer,Gravy_Restaurant,food,-0.5927536,-0.6
chicken,Gravy_Restaurant,food,-0.5927536,-0.6
company,Gravy_Restaurant,price,0.7207197,0.733333333
portions,Gravy_Restaurant,food,-0.005582131,0
mains,Gravy_Restaurant,ambience,-0.005582131,0
place,Gravy_Restaurant,ambience,0.6952028,0.7
butter,Gravy_Restaurant,food,0.011987872,0
pairs,Gravy_Restaurant,price,0.17018634,0.2
food,Gravy_Restaurant,food,0.6787287,0.7
restaurant,Gravy_Restaurant,ambience,0.21927132,0.166666667
selection,Gravy_Restaurant,food,0.7961199,0.8
food,Gravy_Restaurant,food,0.7961199,0.8
place,Gravy_Restaurant,ambience,0.23931491,0.214285714
Tandoori,Gravy_Restaurant,food,-0.63399947,-0.6
chicken,Gravy_Restaurant,food,-0.63399947,-0.6
pint,Gravy_Restaurant,food,-0.067371495,0
beer,Gravy_Restaurant,price,0.03181719,0
Erdinger,Gravy_Restaurant,Non-Categorised,-7.70E-05,0
food,Gravy_Restaurant,food,0.7963691,0.78
place,Gravy_Restaurant,ambience,0.7527256,0.8
food,Gravy_Restaurant,food,0.5779964,0.54375
service,Gravy_Restaurant,service,0.69852555,0.7
staff,Gravy_Restaurant,service,-0.001917012,0
Food,Gravy_Restaurant,food,0.7908911,0.8
aloo,Gravy_Restaurant,food,0.2691076,0.291666667
paratha,Gravy_Restaurant,food,0.2691076,0.291666667
masala,Gravy_Restaurant,food,0.2691076,0.291666667
butter,Gravy_Restaurant,food,0.2691076,0.291666667
staff,Gravy_Restaurant,service,0.2691076,0.291666667
place,Gravy_Restaurant,ambience,0.2691076,0.291666667
🏻,Gravy_Restaurant,food,0.2691076,0.291666667
gray,Gravy_Restaurant,ambience,0.3435678,0.35
bread,Gravy_Restaurant,food,0.3435678,0.35
food,Gravy_Restaurant,food,-0.002600886,0
food,Gravy_Restaurant,food,0.5927135,0.6
service,Gravy_Restaurant,service,0.5927135,0.6
waiters,Gravy_Restaurant,service,0.5927135,0.6
Portions,Gravy_Restaurant,food,0.1844047,0.207142857
need,Gravy_Restaurant,price,0.1844047,0.207142857
Food,Gravy_Restaurant,food,0.79143274,0.8
bottle,Gravy_Restaurant,price,0.014792509,0.025
grey,Gravy_Restaurant,ambience,0.014792509,0.025
goose,Gravy_Restaurant,food,0.014792509,0.025
menu,Gravy_Restaurant,food,0.014792509,0.025
price,Gravy_Restaurant,price,0.014792509,0.025
restaurant,Gravy_Restaurant,ambience,-0.10515896,0.1
time,Gravy_Restaurant,price,-0.10515896,0.1
staff,Gravy_Restaurant,service,-0.001917012,-0.5
management,Gravy_Restaurant,service,0.54528,0.2
bills,Gravy_Restaurant,price,-0.004220001,0
times,Gravy_Restaurant,price,-0.004220001,0
Food,Gravy_Restaurant,food,0.79143274,0.8
service,Gravy_Restaurant,service,0.7888032,0.8
location,Gravy_Restaurant,price,0.78855526,0.8
principles,Gravy_Restaurant,price,-0.001678616,0
ethics,Gravy_Restaurant,service,-7.70E-05,0
prices,Gravy_Restaurant,price,-0.002526105,-0.5
menu,Gravy_Restaurant,food,-0.002526105,-0.5
place,Gravy_Restaurant,ambience,-0.003711335,0
manager,Gravy_Restaurant,price,0.1232508,0.2
goose,Gravy_Restaurant,Non-Categorised,-7.70E-05,-0.05
food,Gravy_Restaurant,food,0.4301676,0.45
comfort,Gravy_Restaurant,price,0.6036046,0.6
home,Gravy_Restaurant,price,0.6036046,0.6
Customer,Gravy_Restaurant,food,0.98542464,1
service,Gravy_Restaurant,service,0.98542464,1
recommendation,Gravy_Restaurant,price,0.89653075,0.91
delight,Gravy_Restaurant,price,0.002748318,0
taste,Gravy_Restaurant,price,-0.00294438,0
Restaurant,Gravy_Restaurant,Non-Categorised,0.068083405,0
beers,Gravy_Restaurant,price,0.65120053,0.5
tap,Gravy_Restaurant,price,0.068083405,0
bonus,Gravy_Restaurant,price,0.65120053,0.5
gravy,Gravy_Restaurant,food,0.04820296,0
food,Gravy_Restaurant,food,0.6751481,0.8
Vegetarian,Gravy_Restaurant,food,0.6751481,0.8
place,Gravy_Restaurant,ambience,0.6751481,0.8
veg,Gravy_Restaurant,food,0.6751481,0.8
variety,Gravy_Restaurant,price,0.6751481,0.8
