,Review,Date,Stars,Restaurant
0,"(Translated by Google) Good hamburgers, delicious pale ale and great cocktails.

(Original) …",5 days ago, 4 stars ,TFDB
1,,a week ago, 5 stars ,TFDB
2,,a week ago, 3 stars ,TFDB
3,"Burger was ok, not fantastic.  Place was extremely hot even though I was there at night, room temperature was 32 degrees (not 25).",2 weeks ago, 3 stars ,TFDB
4,"One of the better burgers I've had, the bread is soft and well toasted, and the meat is thick and flavorful.",2 weeks ago, 5 stars ,TFDB
5,"Diner time and date: 8 October 2021, 1pm. My wife and I popped by on the way through errands and oh boy it was wonderful. Wife had no.1 and I had the no.2. It was a nice touch that they had 2 servicing sizes; smaller size for the discerning …",2 weeks ago, 5 stars ,TFDB
6,"Excellent burgers with a taste of each ingredients and come at an affordable price! This can come with tasty sides (onion rings are dope) and, on top of this, a good service! …",2 weeks ago, 5 stars ,TFDB
7,Great burgers that reminds you of LA. The only thing missing is the perfect weather. Fantastic char to the patty and the onion rings were nicely done,2 weeks ago, 5 stars ,TFDB
8,"Came to try on a discount. Interesting flavors available. Patty was seared well with a salty (in a good way) crispy crust. Overall, would come again on a discount, but maybe not on full price.",2 weeks ago, 4 stars ,TFDB
9,"This place quite possibly has the best burgers in Singapore! We tried the number 1 and number 2 and both were superb. Meat is juicy and well seasoned. The cheese is tasty as is the sauce. The veggies are placed neatly OUTSIDE the burger, …",3 weeks ago, 4 stars ,TFDB
10,,3 weeks ago, 5 stars ,TFDB
11,,4 weeks ago, 5 stars ,TFDB
12,"Very yummy burgers, milkshakes and fries! But I'll come back for the weekday lunch promo as it is still a way better deal than the vouchers offered on Chope.",a month ago, 4 stars ,TFDB
13,,a month ago, 5 stars ,TFDB
14,,a month ago, 5 stars ,TFDB
15,Burgers are really great. Enjoyed the juicy patty and the fluffy brioches buns. They have cheap wine bottles as well,a month ago, 4 stars ,TFDB
16,"The 25 degrees breakfast is good with nicely scrambled eggs. The sausage is mushy (not sure if it’s supposed to be that way) and weird. Hash brown is crispy and potato-ey. The waffles is meh, not hard enough on the outside and too soft.",a month ago, 3 stars ,TFDB
17,"solid burger, chicken wings, milk shake and onion rings.
go for rare doneness for the burger as it's much more juicier.
the service here is excellent, the staff would actually ask for your honest …",a month ago, 5 stars ,TFDB
18,"Burger is great! Ambience is great!

Took the chope deal and had a burger, it was quite large and really filling so I …",a month ago, 4 stars ,TFDB
19,"The burgers here are sublime (I had the ""Number Three""). The beef patty melts in your mouth, and the brioche bun is slightly crispy on the part touching the patty, which adds a delectable texture to the burger as a whole.",a month ago, 5 stars ,TFDB
20,Exceed my expectation.  Number 1 burger,a month ago, 4 stars ,TFDB
21,First impression is the queue - the queue is quite long during even a weekday for dinner. Around 30 mins waiting for us around 730 pm. They don’t accept reservation. …,a month ago, 5 stars ,TFDB
22,,a month ago, 3 stars ,TFDB
23,"The burger was excellently cooked. I ordered medium, and it was still pretty juicy. Fresh lettuce on the side you can add yourself, and the crunchiness was a delight to every bite. There's a craft-your-own burger on the menu which allows …",a month ago, 5 stars ,TFDB
24,Lovely burger!,a month ago, 5 stars ,TFDB
25,The sides like fried broccoli is unusual and onion rings are nicer than fast food chain as they aare made from sliced onions. The burgers were major letdown- buttered chicken wasn’t chicken thigh as stated in menu which I’m ok but the end …,a month ago, 2 stars ,TFDB
26,"Yummy and juicy burger made to perfection. Absolutely worth the price. Thee beef patty and smooth and not greasy, no tough tendons too. Kids love it. Friendly customer service",a month ago, 5 stars ,TFDB
27,Friendly staff and delicious burger.,a month ago, 5 stars ,TFDB
28,Great place for food.. Burger w friends and family,a month ago, 5 stars ,TFDB
29,Amazing burgers. Strongly recommend the number one burger! Bought the signature burger and milkshake deal with Kris+ and it makes this even more worth it. Will definitely visit this place again to try the other burger options,a month ago, 5 stars ,TFDB
30,"Burger, fries and milkshakes is the order here",a month ago, 5 stars ,TFDB
31,Love the burgers. Service by Gina was great,2 months ago, 5 stars ,TFDB
32,Good burgers for the price! Loved the “Number One”,3 months ago, 4 stars ,TFDB
33,"Friendly staff, always willing to top up our drinks without us asking",3 months ago, 5 stars ,TFDB
34,"10/10
Would come back for the burgers any day
Staff was great and service was fast",3 months ago, 5 stars ,TFDB
35,"It's OK, nothing more, nothing less. It started very strange when I ordered a pint of beer and was asked whether I want 200ml or 500ml (technically neither but nevermind), then I got my beer and a snack which essentially was a slice of a …",3 months ago, 3 stars ,TFDB
36,,3 months ago, 5 stars ,TFDB
37,"Nice juicy burger! Bread is soft and patty is juicy and tasty..

Garlic Chicken wings is very delicious. With fries at the bottom.  Very nice snack
Recommended",3 months ago, 5 stars ,TFDB
38,Very reasonably priced burgers. Filling and tasty. Meat was cooked to the right temperature and was fairly juicy but it just didn't taste like it was seasoned right. Wouldn't mind coming back to try other burgers again though just for comparison.,3 months ago, 4 stars ,TFDB
39,Juicy burger patties topped off with cheese and served between 2 fluffy brioche buns,3 months ago, 5 stars ,TFDB
40,"Beautiful burger bar, amazingly helpful staff
The decor and ambience is so welcoming. …",3 months ago, 5 stars ,TFDB
41,Good Fries,3 months ago, 4 stars ,TFDB
42,"The most complete burger I have eaten so far.
The Number One is not a purist's burger as it is chock full of ingredients. But the combination is so well done, it puts the burger at a whole other level. Add some curly fries and you get a perfect meal.",3 months ago, 5 stars ,TFDB
43,Very greasy breakfast…with a bitter coffee,3 months ago, 2 stars ,TFDB
44,"Burgers were excellent - Juicy Lucy, Buttermilk Fried Chicken Burger and Number Two with Onion Rings, Sweet Potato Fries and Coleslaw. Coleslaw was not overly creamy, it’s light and compliment the burgers well. Because, it’s a take away, …",4 months ago, 5 stars ,TFDB
45,The burgers are not bad. However disappointed with the salad due to take away. You don't enjoy what a salad is supposed to be when the dressing are separated for takeaway.,4 months ago, 4 stars ,TFDB
46,"(Translated by Google) 4Star
<Pros>
Juicy thick beef pate …",4 months ago, 4 stars ,TFDB
47,,4 months ago, 4 stars ,TFDB
48,Very unfriendly.  Service slow. Food was ordinary.  McDonald's standard but pricier. Coleslaw was off totally.  Mayo used was probably too old and curdled. Tasted weird. Definitely need to look into it! $6 a portion for this Coleslaw is also a rip-off!,4 months ago, 1 star ,TFDB
49,Don't order delivery or takeaway from this place. They don't know how to manage their order systems properly to get you your order on time.,4 months ago, 1 star ,TFDB
50,"The food is very good, but the management is too sneaky for their own good.

The menu lists a Family Box that comprises 4 burgers and 2 sides. So you would …",4 months ago, 3 stars ,TFDB
51,Happy cause I found a place that can rival three buns (& at more reasonable prices!) We had no.1 and no.2 and the highlight is definitely their patty - had it medium and it was so juicy. Flavours are strong yet well balanced. Onion rings tad foo oily so will skip that next time.,4 months ago, 5 stars ,TFDB
52,"Pricy, but delicious, well made, and they aren't afraid of medium rare beef.",5 months ago, 5 stars ,TFDB
53,burgers were great! loved the number 1! really one of the best burgers i had!,5 months ago, 5 stars ,TFDB
54,"Very nice burgers at value for money pricing - wish I have known this place much earlier! Tried both their No 1 and No 2, both are yummy. Asked for medium doneness for both beef patties and am really pleased that they nailed it beautifully …",5 months ago, 5 stars ,TFDB
55,,5 months ago, 2 stars ,TFDB
56,One of my GO TO that i think is way under-rated and beats Hans Im Gluck and Omakase. …,5 months ago, 5 stars ,TFDB
57,"Amazing service from Gina. Well informed about the menu, makes excellent recommendations and just incredibly polite and nice. Possibly the best service I’ve experienced in Singapore. She went out of her way to get us a table for three, walk-in. Just amazing. Burgers are great, and fries are awesome!",5 months ago, 5 stars ,TFDB
58,Possibly the best burger I've had in town for awhile,5 months ago, 5 stars ,TFDB
59,Its quite good and decent. The place is also rather comfortable too!,5 months ago, 4 stars ,TFDB
60,"Love the burgers here! Its as good as omakase burger! Ordered both number 1 and number 2, i like the meat as it is juicy and their onion rings are really nice.
My favorite would be the number 2 as the tomato gives it extra omph juicy factor …",5 months ago, 5 stars ,TFDB
61,"Juiciest burger ever! Great flavors too! Me and my friend got No.1 & No.2. She loved the onion rings! Must try! The place is tad hot, wished it could be a little breezy. But its a great place to sit and have a burger, cold beer and people watching on a sundays kinda situation. You're welcome 😁",5 months ago, 5 stars ,TFDB
62,,5 months ago, 4 stars ,TFDB
63,Juicy burgers and milkshakes are fantastic. Fries could be lesser saltier though.,5 months ago, 5 stars ,TFDB
64,Amazing place with good food and worth the waiting time. If you go here please get the burgers and sides and milkshakes!! The beef burgers' patties are even cooked to your choice of doneness:)The sides are slightly small for price but still tasty. Staff even gave a free desert for birthday girl!,5 months ago, 5 stars ,TFDB
65,"Excellent, reasonably priced burgers!

I tried the No. 1, No. 2, and the Buttermilk fried chicken burger. All the …",5 months ago, 5 stars ,TFDB
66,,6 months ago, 3 stars ,TFDB
67,"Good chill out place with decent burgers! Not all burgers are to my liking! Overall good experience, good service.",6 months ago, 4 stars ,TFDB
68,Nice burger place serving vegan/vegetarian options. The black (?!) Beyond burger and veggie burgers are delicious. Beyond burger is 100% vegan and comes with vegan cheese. Veggie burger tastes a little bit plain itself (in my opinion) but …,6 months ago, 4 stars ,TFDB
69,,6 months ago, 4 stars ,TFDB
70,,6 months ago, 5 stars ,TFDB
71,"Good, very dining good expensive.
Service is good too 😃😃😃",6 months ago, 5 stars ,TFDB
72,"A chill out place facing the cross junction. Diagonal facing NAFA toastbox.
Having the 1-for-1 beer. Apparently only the 250ml tapped beer. It need to come along with sides. The sides are limited to fries.
Overall its a just an average experience.",6 months ago, 3 stars ,TFDB
73,"I ordered some food from here a few days ago. Wasn’t very impressed.

First off, the 25 degrees salad was v depressing - the ‘grilled turkey’ was …",6 months ago, 3 stars ,TFDB
74,,6 months ago, 5 stars ,TFDB
75,Nice burger,7 months ago, 4 stars ,TFDB
76,"burgers are good ! prices ok ok for burgers average about $14 +

drinks are  tag expensive in my opinion , a pint of Asahi Black for $19 ! mmm... …",7 months ago, 4 stars ,TFDB
77,,7 months ago, 4 stars ,TFDB
78,,7 months ago, 4 stars ,TFDB
79,Quite high price for the burger with no sides,7 months ago, 3 stars ,TFDB
80,The burger is really really good and tasty. The patty is the key of the delicious burger. However the side dish is ok for me. Not too good not too bad. I will come again for the burger.,7 months ago, 5 stars ,TFDB
81,,7 months ago, 5 stars ,TFDB
82,Really great burgers to go with.,7 months ago, 4 stars ,TFDB
83,Burger #1,7 months ago, 5 stars ,TFDB
84,great burger but inhonest service,7 months ago, 4 stars ,TFDB
85,,7 months ago, 4 stars ,TFDB
86,Cheap local breakfast option,7 months ago, 4 stars ,TFDB
87,"Number one Burger is good. Probably one of the top in SG. The avocado scrambled eggs is also great! Have to queue up for quite awhile on a saturday night - about 25 mins. They don't do reservations. Waiter is friendly. The female waitress seems to be a in a rush to walk away while taking our order, perhaps due to understaffed?",7 months ago, 4 stars ,TFDB
88,"Burgers are awesome! Thought they were kidding when were asked for the done-ness of the patty. Really well grilled and cheese is beautifully melted. There are a few sides available as well. Super value for money, especially if u take up the happy hours meals. Loved it!",7 months ago, 5 stars ,TFDB
89,"Cheap local breakfast. Nice ambience, good place to watch the world walking by",8 months ago, 4 stars ,TFDB
90,"The buns are really fluffy n crispy! The regular serving is 120g meat patty. Personally the upsize to 200g will suit an adult more. Overall, very good tasty burgers.",8 months ago, 5 stars ,TFDB
91,Good flavour however the burger patty tasted with ‘rough’ and a little dry despite asking for the patty to be done Medium. The quality of the beef grind might not have been good. …,8 months ago, 4 stars ,TFDB
92,Best burger I’ve had in Singapore.,8 months ago, 5 stars ,TFDB
93,,8 months ago, 4 stars ,TFDB
94,Great burgers!,8 months ago, 5 stars ,TFDB
95,Cocktails and truffle fries are delicious,8 months ago, 5 stars ,TFDB
96,,8 months ago, 5 stars ,TFDB
97,,8 months ago, 5 stars ,TFDB
98,"Ordered a Number One Burger + Vanilla Milkshake + Curly fries. Food was great, will definately visit again for Number Two and Three burgers. Staffs are attentive for orders and request.",8 months ago, 4 stars ,TFDB
99,"the place is very open, aircon not very strong but still ok. the service was good, they prepared the wrong order n gave us the extra burger lol. waiting time around 25mins. truffle fries n burger no.2 was good!",8 months ago, 5 stars ,TFDB
100,Manger was rude and unattentive. We ordered a takeaway and it was left on the counter unattended till we asked.,8 months ago, 1 star ,TFDB
101,"Excellent and affordable burger place!

Remember to try the chicken wings too. …",8 months ago, 4 stars ,TFDB
102,"They have a good variety of burgers that are all juicy-licious. We try a different burger each time we're here and I haven't been disappointed. This round, we had their Numbers 1,2,4 & Buttermilk fried chicken burgers, shared curly fries & onion  rings, plus beers to wash it all down. Luv this burger joint!",8 months ago, 4 stars ,TFDB
103,"Server was very friendly and offered to refill my coffee and iced water, food was nice.",8 months ago, 5 stars ,TFDB
104,,8 months ago, 5 stars ,TFDB
105,,8 months ago, 5 stars ,TFDB
106,,8 months ago, 5 stars ,TFDB
107,"Delightful Western breakfast: eggs, hash browns, bacon, and coffee. The eggs were simply outstanding.",8 months ago, 5 stars ,TFDB
108,Good location,8 months ago, 5 stars ,TFDB
109,Very juicy burgers.,8 months ago, 5 stars ,TFDB
110,"Nice American style burger joint with huge burgers and shakes. Slightly pricey but pretty good quality, and did i mention the burgers are huge?",9 months ago, 4 stars ,TFDB
111,Good juicy burgers...hats off. Curly and truffle fries were good. Milk shakes are okay (still prefer the Jerry's one over them). Nice place to sit and watch the hustle bustle.,9 months ago, 4 stars ,TFDB
112,,9 months ago, 5 stars ,TFDB
113,Great experience here! Look out for their ongoing promotions to make your dining more worthwhile. Food was amazing!,9 months ago, 5 stars ,TFDB
114,"Great burgers, generous portion and very good pricing.",9 months ago, 5 stars ,TFDB
