Review,Date,Stars,Restaurant
"There are lots of Indian restaurant at Tanjong Katong and East Coast area and we are happy that we came to Gravy. Second time dining out since the dining restrictions is relaxed to household of 5, my family including the kids love the food. …",4 days ago, 5 stars ,Gravy_Restaurant
,5 days ago, 5 stars ,Gravy_Restaurant
"The dal makhni was sweet, seemed like sugar was added to it and the naan were dry. Have ordered a couple of times from this place, but the last experience was really bad.",a week ago, 2 stars ,Gravy_Restaurant
,a week ago, 5 stars ,Gravy_Restaurant
We are regular customers - the food is amazing! It's the best indian food we had in Singapore! …,2 weeks ago, 5 stars ,Gravy_Restaurant
Found this hidden gem along this busy tanjong katong area Oct 27 7pm. The staff and owner are friendly and welcoming with very genuine hospitality. Wait… its not just a review about the people but its also about their FOOD. Well… we tried …,3 weeks ago, 5 stars ,Gravy_Restaurant
"Had a really great experience here! Food was top notch and service was amazing

Chanced upon this place on Google when we were searching for food near us and …",3 weeks ago, 5 stars ,Gravy_Restaurant
Nice Biryani !,a month ago, 4 stars ,Gravy_Restaurant
Highly overrated restaurant,a month ago, 1 star ,Gravy_Restaurant
"Amazing food, amazing staff :) one of the best Indian restaurants I’ve tried in SG.",a month ago, 5 stars ,Gravy_Restaurant
"Great lentils, fish tikkas, and lamb. Their Masala tea is strong and smooth",2 months ago, 5 stars ,Gravy_Restaurant
"One of the best Indian restaurant in Singapore. I tried veg platter, Kaju Masala and veg tava bhaji and it was awesome.",2 months ago, 5 stars ,Gravy_Restaurant
love the chickpea dish. friendly staff. really appreciate them for serving a yummy cottage cheese and milk flavoured complimentary dessert for my birthday 😊🙏,2 months ago, 5 stars ,Gravy_Restaurant
"Sorry,  we were busy eating and completely forgot to take the picture! This place never disappoints.... yummy,  fragrant and delicious food.... personalised service and overall always a delightful experience to dine in! We ordered,  egg …",2 months ago, 5 stars ,Gravy_Restaurant
,2 months ago, 4 stars ,Gravy_Restaurant
not disappointed,2 months ago, 4 stars ,Gravy_Restaurant
"Very good Indian food. We loved the garlic naan, chicken masala and mutton briyani. Price is reasonable.",2 months ago, 5 stars ,Gravy_Restaurant
Consistently good food! Our go to North Indian neighborhood place :),3 months ago, 5 stars ,Gravy_Restaurant
They're food is good but delivery time 👁so late😬,3 months ago, 5 stars ,Gravy_Restaurant
"Amazing Gobi Manchurian and mutton bhuna.

Their palak paneer and Tikka is amazing too.",3 months ago, 5 stars ,Gravy_Restaurant
"a little pricey, but hands down some of the best indian food in thr country",4 months ago, 5 stars ,Gravy_Restaurant
Good food. The lamb in the bhuna gosht was so tender,5 months ago, 5 stars ,Gravy_Restaurant
"Definitely the best Indian restaurant in Singapore with the best biryani. All dishes I’ve tried have been delicious, and I’d go every day if I could. They also always have the kindest service.",5 months ago, 5 stars ,Gravy_Restaurant
"best Indian food in Singapore, their fish tikka, Palak paneer and garlic naan are to die for 😜👏",5 months ago, 5 stars ,Gravy_Restaurant
,5 months ago, 4 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
"Wow..... I love to enjoy cheese naan and veg tawa gravy .....when i eat cheese naan i feel like woww...,yammmmy... 🤪 I really love all food and really good service too and manager and staff so frankly and friendly too this place i feel …",6 months ago, 5 stars ,Gravy_Restaurant
Great Indian food. Unique offerings. Very good service. Attentive.,6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
Great roti's and kulcha. Delicious Daal Makhini. Little bit pricy but worth it!,6 months ago, 5 stars ,Gravy_Restaurant
"Excellent service, excellent flavour.",6 months ago, 5 stars ,Gravy_Restaurant
"Excellent curry, Naan and briyani! Superb and friendly service everytime. Reasonable pricing for such good quality items. Highly recommended!",6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
"Really awesome paneer, generous with the portions for their mains. I got the paneer and butter chicken, pairs really well with the naan. Pleasant company, good place to chill and have some good Indian food. Would definitely head back again :)",6 months ago, 5 stars ,Gravy_Restaurant
"Super local indian restaurant, we had a great selection of food",6 months ago, 5 stars ,Gravy_Restaurant
,6 months ago, 5 stars ,Gravy_Restaurant
Awesome Food!,7 months ago, 5 stars ,Gravy_Restaurant
"I certainly feel this place is overrated. The  Tandoori chicken, Naan & curry was superb. Agreed. Their Biryani was very subpar. Asked us to try their in-house beer instead of Erdinger. We didn’t like it. Later we order another pint of …",7 months ago, 2 stars ,Gravy_Restaurant
,7 months ago, 5 stars ,Gravy_Restaurant
Very nice and great food! Happy to have found this place🥳,7 months ago, 5 stars ,Gravy_Restaurant
I get nice indian food and having good service and staff very friendly and supportive also.. ☺️,7 months ago, 5 stars ,Gravy_Restaurant
Food was great..I love it the aloo paratha and if like sweet gray with bread so for me I recommend kaju masala with butter naan it’s totally yammyyyyy🥰 even staff so friendly and for Indian food it’s totally recommending this  place 🤘🏻,7 months ago, 5 stars ,Gravy_Restaurant
I liked the food and very nice service from the waiters. Portions are large so no need to order too much.,7 months ago, 5 stars ,Gravy_Restaurant
Food is great. But was overcharged for a bottle of grey goose even though the menu clearly stated the price. Really disappointed and was not expecting this from a restaurant we frequent all the time.,7 months ago, 1 star ,Gravy_Restaurant
"Useless staff, check your bills 10 times!
Very unethical management....",7 months ago, 1 star ,Gravy_Restaurant
"Food is great, service was great, location was great, however principles and ethics? Highly disappointing. …",7 months ago, 1 star ,Gravy_Restaurant
"Fake prices on the menu (I.e: grey goose). When asked about it, manager straight up lied. Don’t patronise this place.",7 months ago, 1 star ,Gravy_Restaurant
,7 months ago, 5 stars ,Gravy_Restaurant
"Posting this as I am eating your food at the comfort of my own home. Customer service is excellent. Very good recommendation. If you don't know what to order, just ask and they recommend to your taste. It's such a delight to eat their food! Perfect for me! :) Thank you so much for good food!",7 months ago, 5 stars ,Gravy_Restaurant
"The naan is very good. As good as those I’ve tasted in India. Restaurant also serves craft beers on tap, which is a bonus as I really think beers goes great with naan and spicy gravy.",7 months ago, 5 stars ,Gravy_Restaurant
Awesome food!! Being a Vegetarian I would say great place to have veg food with variety of starters... try out dudhia kebab as starter and Veg Handi in main course.. dal makhani was simple superb!!! Each dish is meticulously made with not too much of masala....Added to my list of frequently visiting reataurant..,7 months ago, 5 stars ,Gravy_Restaurant
,7 months ago, 5 stars ,Gravy_Restaurant
,7 months ago, 5 stars ,Gravy_Restaurant
