word,tag
gute,NN
hamburger,NN
leckeres,VBZ
pale,JJ
ale,JJ
und,NN
tolle,NN
cocktails,NNS
burger,NN
was,VBD
ok,JJ
not,RB
fantastic,JJ
",",","
place,NN
extremely,RB
hot,JJ
even,RB
though,IN
i,NN
there,RB
at,IN
night,NN
room,NN
temperature,NN
32,CD
degrees,NNS
25,CD
one,CD
of,IN
the,DT
better,JJR
burgers,NNS
ive,JJ
had,VBD
bread,VBN
is,VBZ
soft,JJ
and,CC
well,RB
toasted,JJ
meat,NN
thick,JJ
flavorful,JJ
diner,NN
time,NN
date,NN
8,CD
october,NN
2021,CD
1pm,CD
my,PRP$
wife,NN
popped,VBN
by,IN
on,IN
way,NN
through,IN
errands,NNS
oh,JJ
boy,IN
it,PRP
wonderful,VBZ
no,DT
1,CD
2,CD
a,DT
nice,JJ
touch,NN
that,IN
they,PRP
servicing,VBG
sizes,NNS
smaller,JJR
size,NN
for,IN
discerning,VBG
excellent,JJ
with,IN
taste,NN
each,DT
ingredients,NNS
come,VBP
an,DT
affordable,JJ
price,NN
this,DT
can,MD
tasty,VB
sides,NNS
onion,JJ
rings,NNS
are,VBP
dope,JJ
top,JJ
good,JJ
service,NN
great,JJ
reminds,VBZ
you,PRP
la,VBP
only,RB
thing,NN
missing,VBG
perfect,JJ
weather,NN
char,NN
to,TO
patty,VB
were,VBD
nicely,RB
done,VBN
came,VBD
try,JJ
discount,NN
interesting,JJ
flavors,NNS
available,JJ
seared,VBD
salty,NN
in,IN
crispy,NN
crust,NN
overall,RB
would,MD
again,RB
but,CC
maybe,RB
full,JJ
quite,NN
possibly,RB
has,VBZ
best,JJS
singapore,NN
we,PRP
tried,VBD
number,NN
both,DT
superb,JJ
juicy,NN
seasoned,VBD
cheese,JJ
as,IN
sauce,JJ
veggies,NNS
placed,VBN
neatly,RB
outside,JJ
very,RB
yummy,JJ
milkshakes,NNS
fries,NNS
ill,VBP
back,RB
weekday,JJ
lunch,NN
promo,NN
still,RB
deal,VB
than,IN
vouchers,NNS
offered,VBN
chope,VBP
really,RB
enjoyed,VBN
fluffy,NN
brioches,NNS
buns,NNS
have,VBP
cheap,JJ
wine,NN
bottles,NNS
breakfast,NN
scrambled,VBD
eggs,JJ
sausage,NN
mushy,JJ
sure,JJ
if,IN
its,PRP$
supposed,VBN
be,VB
weird,JJ
hash,JJ
brown,NN
potatoey,NN
waffles,NNS
meh,RB
hard,RB
enough,RB
too,RB
solid,JJ
chicken,NN
wings,NNS
milk,NN
shake,VBP
go,VB
rare,JJ
doneness,RB
much,RB
more,RBR
juicier,NN
here,RB
staff,NN
actually,RB
ask,VB
your,PRP$
honest,JJS
ambience,NN
greattook,NN
large,JJ
filling,VBG
so,RB
sublime,JJ
three,CD
beef,NN
melts,NNS
mouth,VBP
brioche,NN
bun,NN
slightly,RB
part,NN
touching,VBG
which,WDT
adds,VBZ
delectable,JJ
texture,NN
whole,JJ
exceed,NN
expectation,NN
first,JJ
impression,NN
queue,NN
long,RB
during,IN
dinner,NN
around,IN
